ValidMSE,LearningRate,MaxEpoch,TrainMSE,HiddenUnits
0.0085846438366501,1,50,0.0023558014993077,1
0.0084511196105503,1,50,0.0023321872050656,2
0.0084659747839709,1,50,0.0023192286556524,3
0.008366391466209,1,50,0.0022720894954667,4
0.0082680581404465,1,50,0.0022747754807337,5
0.0080943369811055,1,50,0.0022558334222139,6
0.0081448996077256,1,50,0.0022512733534605,7
0.0082095653276076,1,50,0.0022369101099148,8
0.008154992955731,1,50,0.0022440786553372,9
0.0081696597618647,1,50,0.0022549190811156,10
0.0081489692121638,1,50,0.0022273412934735,11
0.0081450726756829,1,50,0.0022550779460731,12
0.0081035768155845,1,50,0.0022463460056134,13
0.0081376583703362,1,50,0.0022342636177727,14
0.0081124468064939,1,50,0.0022260348298653,15
0.0080940222810235,1,50,0.0022263614103807,16
0.0082186519052377,1,50,0.0022372891892984,17
0.0081506087089378,1,50,0.0022338985764549,18
0.0081410620207699,1,50,0.0022458278716028,19
0.0081157235749145,1,50,0.0022412568445789,20
0.0080537523507943,1,50,0.0022224787902314,21
0.0081177348643774,1,50,0.0022302957876428,22
0.0081735208886957,1,50,0.0022268004134929,23
0.0081557539877114,1,50,0.0022273336641668,24
0.0079984035324189,1,50,0.0022072130947801,25
0.0081371206814556,1,50,0.0022266612426791,26
0.0080692063600819,1,50,0.0022284681184575,27
0.00818049600308,1,50,0.0022313025728191,28
0.0079373158649558,1,50,0.0021955037241589,29
0.0081333364288875,1,50,0.0022358313669893,30
0.0080947100053582,1,50,0.002221120185592,31
0.0081508905344126,1,50,0.0022282644117025,32
0.0081520700853374,1,50,0.002233748347661,33
0.0079777887752695,1,50,0.0022034871042716,34
0.0081668158759337,1,50,0.0022220627826458,35
0.0080778236226776,1,50,0.0022208346772374,36
0.0078392382847826,1,50,0.0021900017163697,37
0.008123492980215,1,50,0.0022216628676163,38
0.0080491566816286,1,50,0.0022000807488411,39
0.008085922731285,1,50,0.0021971136887987,40
0.0080188124346833,1,50,0.0021955742597982,41
0.0080426071367212,1,50,0.0022026203042512,42
0.0079547905406963,1,50,0.0022073211347382,43
0.0079262435660333,1,50,0.0021880279135336,44
0.0079821962731376,1,50,0.0021821661831959,45
0.0080602418995358,1,50,0.0022027182754201,46
0.0080609712125979,1,50,0.0021847440057765,47
0.0079004054413589,1,50,0.0021788417715762,48
0.0079817330829696,1,50,0.0022014224843862,49
0.0080035306313706,1,50,0.0021921619447865,50
0.0081222965652629,1,50,0.0022027072740865,51
0.0080485034274052,1,50,0.0021970261181366,52
0.0079120283706103,1,50,0.0021827431715911,53
0.0080650662229862,1,50,0.002205477986967,54
0.0078820414218273,1,50,0.002154914375829,55
0.0080998884790375,1,50,0.0021953258134739,56
